"CustomerNo","fk_catalog_segment","sku_simple","id_catalog_simple","avg_size","prediction","simple_list","cluster_total","profiles"
10001943,1,"WA618SH34CJLINDFAS-2259809",2259809,23,"FALSE","2259811:0.60,2259812:0.50,2259810:0.50,2259813:0.43,2259809:0.42,2259814:0.40",1,1
10001943,1,"BE043SH43TDWINDFAS-1948273",1948273,23.6,"FALSE","1948274:0.60,1948275:0.50,1948273:0.50,1948276:0.42,1948277:0.40,1948278:0.39",1,1
10003873,1,"ZC657SH10BIBINDFAS-2904929",2904929,25.55,"FALSE","2904925:0.60,2904927:0.50,2904935:0.50,2904929:0.43,2904933:0.42,2904931:0.40",1,1
10006823,1,"KI520SH66LPXINDFAS-3227741",3227741,26.2,"TRUE","3227741:0.60,3227739:0.51,3227737:0.43,3227735:0.40,3227733:0.40,3227731:0.40",1,1
10007799,2,"DE041SH00KCDINDFAS-3223719",3223719,26,"FALSE","3223717:0.50,3223723:0.48,3223725:0.44,3223719:0.42,3223721:0.41",2,2
10013701,1,"CU557SH25XNUINDFAS-2304603",2304603,25.5,"FALSE","2304602:0.59,2304601:0.52,2304603:0.49,2304600:0.43,2304604:0.40,2304599:0.39",1,1
10013701,1,"CU557SH99XOUINDFAS-2304759",2304759,25.5,"FALSE","2304758:0.59,2304757:0.52,2304759:0.49,2304756:0.43,2304760:0.40,2304755:0.39",1,1
10016851,1,"NE717SH64CTFINDFAS-3206005",3206005,23.55,"FALSE","3206009:0.60,3206011:0.52,3206007:0.50,3206013:0.43,3206003:0.40,3206005:0.40",1,1
1002042,2,"RE104SH18UXTINDFAS-2361757",2361757,25.7,"TRUE","2361757:0.60,2361759:0.56,2361755:0.56,2361761:0.47,2361765:0.39,2361763:0.39",1,1
10020641,1,"IN071SH84GSHINDFAS-1754489",1754489,23.3,"FALSE","1754492:0.57,1754493:0.54,1754491:0.48,1754490:0.40,1754489:0.38,1754488:0.37,2054914:0.33",1,1
10022023,2,"SA106SH12BZVINDFAS-709974",709974,28.7,"FALSE","709973:0.67,709972:0.56,709974:0.56,709971:0.47,709970:0.37,709969:0.33",2,1
1002282,1,"ME936SH68HLRINDFAS-1030971",1030971,24.3,"TRUE","1030971:0.33,1030973:0.33,1030972:0.33,1030970:0.33,1030969:0.29,1030974:0.28,1030968:0.24",5,5
10029957,1,"NE717SH68XJBINDFAS-2602437",2602437,25,"TRUE","2602433:0.50,2602437:0.50,2602439:0.44,2602431:0.44,2602435:0.42,2602441:0.36",2,2
1003059,1,"LA037SH19JVOINDFAS-1877340",1877340,26.6,"TRUE","1877340:0.66,1877339:0.64,1877338:0.50,1877337:0.32,1877336:0.17,1877335:0.11",14,3
10031251,1,"RO108SH01OCKINDFAS-1099554",1099554,26.2,"FALSE","1099553:0.60,1099552:0.52,1099554:0.51,1099551:0.43,1099549:0.40,1099550:0.40",1,1
10035811,2,"ID070SH54CQJINDFAS-2260467",2260467,27.5,"FALSE","2260465:0.60,2260466:0.53,2260464:0.47,2260467:0.40,2260468:0.40,2260469:0.37",1,1
10037667,1,"PI727SH28HMPINDFAS-3394249",3394249,25.5,"TRUE","3394249:0.37,3394243:0.37,3394245:0.37,3394247:0.36,3394241:0.32,3394251:0.32",4,4
10037667,1,"PI727SH28SHVINDFAS-2711535",2711535,25.5,"TRUE","2711535:0.37,2711529:0.37,2711531:0.37,2711533:0.36,2711527:0.32,2711537:0.32",4,4
10039901,1,"KI520SH88VVZINDFAS-2363889",2363889,25,"FALSE","2363891:0.50,2363889:0.44,2363893:0.42,2363887:0.35,2363885:0.27,2363883:0.25",4,3
10042465,1,"MI162SH16JMDINDFAS-3221857",3221857,25,"TRUE","3221857:0.50,3221849:0.50,3221847:0.44,3221855:0.42,3221851:0.33,3221853:0.33",2,2
100478,1,"ZC657SH44OXZINDFAS-2286372",2286372,23,"TRUE","2286372:0.56,2286373:0.48,2286374:0.39,2286377:0.33,2286375:0.30,2286376:0.28",5,3
10052607,2,"FR057SH10JABINDFAS-2924633",2924633,27.5,"FALSE","4094575:0.45,2924635:0.40,2924633:0.40,2924631:0.40,2924629:0.38,2924627:0.38",1,1
10062711,1,"MI162SH30FCBINDFAS-1867150",1867150,25,"TRUE","1867150:0.60,1867151:0.52,1867149:0.50,1867152:0.43,1867148:0.40,1867147:0.40",1,1
1006476,2,"AS017SH58CKNINDFAS-2137046",2137046,28.5,"FALSE","2137045:0.59,2137044:0.59,2137046:0.52,2137043:0.44,2137047:0.37,2137042:0.33,2137048:0.27",2,1
10065883,1,"MI162SH16UFNINDFAS-2409257",2409257,25.55,"TRUE","2409257:0.60,2409255:0.52,2409259:0.51,2409253:0.43,2409251:0.40,2409249:0.40",1,1
1007917,3,"PU102SH96DEHINDFAS-2024598",2024598,18.5,"FALSE","2024600:0.58,2024599:0.58,2024598:0.56,2024601:0.54,2024597:0.52,2024602:0.50,2024604:0.46,2024603:0.42",1,1
10085861,2,"NI091SH78WORINDFAS-2302058",2302058,24.5,"TRUE","2302058:0.52,2302059:0.48,2302061:0.40,2302060:0.40,2302062:0.37,2302063:0.36",1,1
10089107,1,"CA027SH78OKNINDFAS-1770903",1770903,23.8,"FALSE","1770902:0.65,1770901:0.57,1770903:0.54,1770904:0.37,1770906:0.33,1770905:0.32",2,1
10091627,2,"AN429SH23VNCINDFAS-2118883",2118883,26,"TRUE","2118883:0.67,2118884:0.56,2118882:0.56,2118885:0.47,2118886:0.37",2,1
1010113,1,"CA027SH08JTVINDFAS-2216479",2216479,22.4,"FALSE","2216482:0.49,2216480:0.49,2216479:0.43,2216483:0.42,2216481:0.41,2216484:0.33",2,2
10105591,1,"TE228SH38TMVINDFAS-1783366",1783366,23,"TRUE","1783366:0.60,1783367:0.52,1783368:0.42,1783369:0.40,1783370:0.40,1783371:0.40",1,1
10105785,3,"DI040SH68KHJINDFAS-1526581",1526581,22.01,"FALSE","1526582:0.60,1526583:0.57,1526581:0.57,1526580:0.53,1526579:0.50,1526578:0.46",1,1
10107093,1,"ZC657SH29PQWINDFAS-2230708",2230708,25,"FALSE","2230707:0.60,2230708:0.50,2230706:0.50,2230709:0.43,2230705:0.42,2230710:0.40",1,1
10107093,1,"ZC657SH29PQWINDFAS-2230709",2230709,25.55,"FALSE","2230707:0.60,2230708:0.50,2230706:0.50,2230709:0.43,2230705:0.42,2230710:0.40",1,1
10112007,1,"MY465SH58TWVINDFAS-2949191",2949191,23,"FALSE","2949183:0.60,2949185:0.50,2949181:0.50,2949187:0.43,2949191:0.42,2949189:0.40",1,1
10116775,1,"ZC657SH80SEDINDFAS-2355631",2355631,24.3,"TRUE","2355631:0.60,2355633:0.50,2355629:0.50,2355635:0.43,2355627:0.42,2355637:0.40",1,1
10116775,1,"ZC657SH00ZVNINDFAS-3610561",3610561,24.3,"TRUE","3610561:0.60,3610563:0.50,3610559:0.50,3610565:0.43,3610557:0.42,3610567:0.40",1,1
1011774,1,"MI162SH98JIZINDFAS-3221359",3221359,24.3,"TRUE","3221359:0.54,3221361:0.45,3221357:0.44,3221363:0.38,3221355:0.38,3221365:0.30",9,4
1011774,1,"MI162SH38JHLINDFAS-3221121",3221121,25.55,"FALSE","3221117:0.54,3221119:0.45,3221115:0.44,3221121:0.38,3221125:0.38,3221123:0.30",9,4
1011774,1,"ST446SH98VDHINDFAS-1003010",1003010,23.5,"FALSE","1003012:0.50,1003013:0.50,1003011:0.48,1003014:0.44,1003010:0.44,1003009:0.38,1003015:0.34,1003008:0.31,1003007:0.28,1003006:0.20",9,4
1011774,1,"MI162SH98JIZINDFAS-3221363",3221363,25.55,"FALSE","3221359:0.54,3221361:0.45,3221357:0.44,3221363:0.38,3221355:0.38,3221365:0.30",9,4
1011774,1,"HM567SH65VQKINDFAS-1955058",1955058,25,"FALSE","1955057:0.54,1955058:0.45,1955056:0.44,1955059:0.38,1955055:0.38,1955060:0.30",9,4
1011774,1,"CO042SH25MVAINDFAS-2161212",2161212,24.7,"FALSE","2161211:0.50,2161212:0.49,2161213:0.41,2161210:0.41,2161209:0.34,2161214:0.33",9,4
1011951,1,"PI863SH31LVSINDFAS-2280838",2280838,24.9,"TRUE","2280838:0.68,2280839:0.61,2280837:0.57,2280840:0.50,2280836:0.47,2280835:0.37",9,3
10123401,1,"ZC657SH73YHMINDFAS-1738302",1738302,23.55,"FALSE","1738304:0.50,1738305:0.44,1738303:0.42,1738306:0.36,1738302:0.33,1738301:0.27",6,4
1013203,1,"JC046SH18NXTINDFAS-2759809",2759809,22.4,"TRUE","2759809:0.62,2759811:0.54,2759813:0.46,2759815:0.35,2759819:0.25,2759817:0.25,2759821:0.25",4,2
1013203,1,"LA037SH91JWQINDFAS-1877503",1877503,22.4,"TRUE","1877503:0.62,1877504:0.55,1877505:0.42,1877506:0.26,1877508:0.24,1877507:0.24",4,2
10133017,3,"DI040SH59LSUINDFAS-2158435",2158435,18.62,"TRUE","2158435:0.66,2158434:0.63,2158433:0.59,2158432:0.55,2158431:0.51,2158430:0.48",2,1
10133017,3,"DI040SH59LSUINDFAS-2158435",2158435,18.62,"TRUE","2158435:0.66,2158434:0.63,2158433:0.59,2158432:0.55,2158431:0.51,2158430:0.48",2,1
1013429,1,"CA027SH51WZCINDFAS-1227730",1227730,25.7,"FALSE","1227729:0.59,1227730:0.50,1227728:0.43,1227726:0.40,1227731:0.39,1227727:0.39",1,1
10137049,2,"CO036SH02QZXINDFAS-413741",413741,26.5,"FALSE","413742:0.53,413743:0.53,413741:0.40,413744:0.40,413740:0.38,413739:0.35,413738:0.30,413737:0.21,413736:0.12",1,1
1013718,2,"RU271SH31POEINDFAS-1829069",1829069,25.8,"TRUE","1829069:0.36,1829073:0.35,1829070:0.32,1829072:0.32,1829071:0.29,1829074:0.28",7,5
10145803,2,"HI067SH76ABBINDFAS-2421569",2421569,26.3,"TRUE","2421569:0.60,2421571:0.52,2421567:0.52,2421565:0.44,2421573:0.44",1,1
10150193,2,"SA106SH92CAPINDFAS-710090",710090,26,"FALSE","710093:0.60,710092:0.51,710094:0.51,710091:0.43,710089:0.40,710090:0.40",1,1
10151869,1,"MI162SH90UKJINDFAS-2410013",2410013,25.55,"TRUE","2410013:0.67,2410011:0.58,2410015:0.57,2410009:0.47,2410007:0.36,2410005:0.33",2,1
1015412,2,"KO188SH36LWXINDFAS-3105151",3105151,28.1,"FALSE","3105149:0.60,3105147:0.52,3105151:0.52,3105145:0.44,3105141:0.40,3105143:0.40",1,1
10154245,2,"LO085SH56BXRINDFAS-2793787",2793787,29.6,"TRUE","2793787:0.60,2793785:0.49,2793789:0.48,2793781:0.40,2793783:0.39,2793779:0.39",1,1
10160569,1,"MY465SH42TXLINDFAS-2949277",2949277,23,"FALSE","2949281:0.60,2949283:0.50,2949279:0.50,2949285:0.43,2949277:0.42,2949287:0.40",1,1
10161043,1,"LA037SH18LVPINDFAS-3228613",3228613,24.9,"TRUE","3228613:0.49,3228615:0.42,3228611:0.40,3228607:0.33,3228617:0.33,3228609:0.33",2,2
10161043,1,"IN071SH66DLHINDFAS-3383045",3383045,24.7,"TRUE","3383045:0.50,3383047:0.47,3383043:0.42,3383049:0.38,3383041:0.34,3383039:0.31",2,2
1016212,1,"LA037SH70UWRINDFAS-2411683",2411683,25.7,"FALSE","2411685:0.65,2411683:0.63,2411681:0.50,2411679:0.32,2411677:0.17,2411675:0.08",24,3
1016798,2,"BA305SH86BMNINDFAS-3378789",3378789,26.9,"FALSE","3378791:0.60,3378793:0.52,3378789:0.52,3378787:0.44,3378785:0.40,3378783:0.04",1,1
101803,1,"ZC657SH76YLFINDFAS-1738885",1738885,24.3,"FALSE","1738884:0.60,1738883:0.52,1738885:0.50,1738887:0.40,1738886:0.40,1738888:0.40",1,1
10182363,1,"FF850SH09CGGINDFAS-1287536",1287536,24.1,"FALSE","1287535:0.59,1287536:0.52,1287534:0.45,1287537:0.39,1287538:0.37",1,1
10185099,2,"LO087SH38JBHINDFAS-2333117",2333117,27.1,"TRUE","2333117:0.55,2333116:0.54,2333118:0.43,2333120:0.40,2333119:0.39,2333121:0.32",1,1
10185099,2,"AM360SH03HIUINDFAS-1871220",1871220,26.7,"TRUE","1871220:0.60,1871219:0.51,1871218:0.47,1871221:0.44,1871217:0.40,1871222:0.39",1,1
10185099,2,"EG045SH08QRVINDFAS-3416027",3416027,26.7,"TRUE","3416027:0.60,3416029:0.52,3416025:0.51,3416023:0.47,3416021:0.43",1,1
1018648,1,"PU102SH87YMMINDFAS-2068743",2068743,25,"TRUE","2068743:0.43,2068742:0.43,2068744:0.38,2068741:0.33,2068740:0.26",3,3
1019004,2,"NU094SH04ZDFINDFAS-1963478",1963478,28,"TRUE","1963478:0.67,1963477:0.59,1963479:0.52,1963476:0.44,1963475:0.37,1963474:0.33",2,1
1019089,2,"AN429SH58KHXINDFAS-1307430",1307430,28,"FALSE","1307429:0.57,1307430:0.53,1307428:0.49,1307427:0.40,1307426:0.40",1,1
1019528,1,"AE303SH54NQFINDFAS-1884322",1884322,23.5,"FALSE","1884323:0.48,1884322:0.41,1884324:0.36,1884325:0.36,1884321:0.29,1884320:0.20",4,3
1019782,1,"CA027SH34WZPINDFAS-2896159",2896159,25.7,"FALSE","2896157:0.59,2896159:0.50,2896155:0.43,2896151:0.40,2896161:0.39,2896153:0.39",1,1
10201343,1,"WE286SH94GHPINDFAS-2805173",2805173,26.4,"TRUE","2805173:0.48,2805171:0.44,2805169:0.38,2805167:0.33,2805165:0.32,2805163:0.32",2,2
10201371,1,"NE717SH54XNLINDFAS-2603109",2603109,25,"TRUE","2603109:0.60,2603111:0.52,2603107:0.50,2603113:0.43,2603105:0.40,2603103:0.40",1,1
10205181,1,"ST131SH12XXVINDFAS-2418655",2418655,25,"FALSE","2418653:0.60,2418655:0.50,2418651:0.50,2418657:0.43,2418649:0.42,2418659:0.40",1,1
1020548,1,"ST131SH40XWTINDFAS-2418491",2418491,26.2,"TRUE","2418491:0.60,2418489:0.51,2418487:0.43,2418481:0.40,2418483:0.40,2418485:0.40",1,1
10215525,1,"AL007SH33HVUINDFAS-2271986",2271986,23.622,"FALSE","2271988:0.57,2271987:0.56,2271989:0.47,2271986:0.45,2271990:0.40,2271984:0.40,2271985:0.39",1,1
10215525,2,"AN429SH84KGXINDFAS-1307300",1307300,28,"NOPRED","1307297:0.38,1307298:0.38,1307299:0.36,1307296:0.36,1307300:0.33",4,4
10215525,2,"KN667SH72TTJINDFAS-3009801",3009801,27.9,"FALSE","3009797:0.38,3009799:0.38,3009793:0.38,3009795:0.35,3009801:0.34,3009803:0.31",4,4
10216611,1,"PI727SH44HIDINDFAS-3393553",3393553,25.5,"TRUE","3393553:0.59,3393555:0.51,3393551:0.50,3393549:0.40,3393547:0.40,3393545:0.39",1,1
10224151,2,"BA305SH65QRQINDFAS-1832352",1832352,25.7,"FALSE","1832355:0.38,1832354:0.36,1832353:0.35,1832352:0.35,1832351:0.30",4,4
10232837,1,"MI162SH26JLTINDFAS-3221789",3221789,23,"TRUE","3221789:0.38,3221787:0.33,3221797:0.33,3221791:0.33,3221795:0.29,3221793:0.25",5,4
10240301,1,"KI520SH66LPXINDFAS-3227735",3227735,24.3,"TRUE","3227735:0.56,3227733:0.54,3227737:0.46,3227731:0.46,3227739:0.40,3227741:0.40",1,1
10243895,1,"LA037SH30UUJINDFAS-2411323",2411323,25.7,"TRUE","2411323:0.58,2411321:0.51,2411325:0.45,2411315:0.40,2411317:0.39,2411319:0.38",1,1
10245421,3,"PU102SH58UPHINDFAS-1224013",1224013,21,"FALSE","1224014:0.51,1224015:0.47,1224016:0.45,1224012:0.41,1224013:0.39",1,1
10247097,1,"JC046SH71DEEINDFAS-2200753",2200753,24.3,"FALSE","2200752:0.67,2200751:0.58,2200753:0.55,2200754:0.44,2200755:0.36,2200756:0.33",2,1
10250065,1,"JC046SH79PLKINDFAS-1773575",1773575,24.3,"FALSE","1773576:0.67,1773577:0.58,1773575:0.56,1773578:0.48,1773574:0.44,1773573:0.36",2,1
10250065,1,"JC046SH92XILINDFAS-2123143",2123143,24.3,"FALSE","2123144:0.67,2123145:0.58,2123143:0.56,2123146:0.48,2123142:0.44,2123141:0.36",2,1
10250065,1,"JC046SH88JXNINDFAS-2153534",2153534,25,"TRUE","2153534:0.67,2153535:0.58,2153533:0.56,2153536:0.48,2153532:0.44,2153531:0.36",2,1
10250065,1,"JC046SH87JXOINDFAS-2153540",2153540,25,"TRUE","2153540:0.67,2153541:0.58,2153539:0.56,2153542:0.48,2153538:0.44,2153537:0.36",2,1
10254951,1,"IN071SH76DKXINDFAS-3382987",3382987,25.3,"TRUE","3382987:0.54,3382989:0.51,3382985:0.46,3382983:0.37,3382981:0.27,3382979:0.27",3,2
10255553,2,"CR037SH46UWRINDFAS-947884",947884,29.21,"TRUE","947884:0.55,947885:0.48,947882:0.40,947889:0.39,947887:0.39,2005903:0.39,947888:0.39,2005902:0.31,947886:0.27,947883:0.20",1,1
1025602,1,"ST446SH30SDHINDFAS-2174935",2174935,25.9,"TRUE","2174935:0.47,2174934:0.45,2174933:0.33,2174932:0.33,2174931:0.33,2174930:0.32",2,2
10256445,1,"TE228SH63TLWINDFAS-1783195",1783195,25.4,"FALSE","1783194:0.29,1783195:0.27,1783193:0.27,1783196:0.25,1783192:0.24,1783191:0.20,1783190:0.15",172,9
10256445,1,"ZC657SH78VKFINDFAS-1843316",1843316,23.55,"FALSE","1843318:0.30,1843319:0.26,1843317:0.25,1843320:0.22,1843316:0.20,1843315:0.16",172,9
10256445,1,"PI415SH25FVEINDFAS-915253",915253,22.99,"FALSE","915256:0.29,915257:0.26,915255:0.25,915258:0.22,915254:0.21,915253:0.16,915252:0.12",172,9
10256445,1,"CU557SH17XOCINDFAS-2304647",2304647,22.9,"FALSE","2304650:0.29,2304651:0.27,2304649:0.24,2304652:0.22,2304648:0.20,2304647:0.15",172,9
10256445,1,"AD113SH83ZBWINDFAS-2309604",2309604,24.96,"TRUE","2309604:0.30,2309605:0.26,2309603:0.25,2309606:0.21,2309602:0.21,2309601:0.16",172,9
10256445,1,"KI520SH70UABINDFAS-3189003",3189003,25.55,"FALSE","3189001:0.30,3189003:0.26,3188999:0.25,3189005:0.22,3188997:0.20,3188995:0.16",172,9
10256445,1,"UR080SH12PKXINDFAS-2049893",2049893,25.4,"TRUE","2049893:0.27,2049892:0.26,2049894:0.23,2049891:0.20,2049895:0.16,2049896:0.10",172,9
10256445,1,"LE080SH67OKUINDFAS-1993006",1993006,23.5,"FALSE","1993009:0.29,1993010:0.27,1993008:0.27,1993011:0.25,1993007:0.22,1993006:0.20",172,9
10256445,1,"ZC657SH03KUQINDFAS-1251887",1251887,25,"TRUE","1251887:0.30,1251888:0.26,1251886:0.25,1251889:0.22,1251885:0.20,1251884:0.16",172,9
10256499,1,"FN738SH57RBUINDFAS-1482145",1482145,24.5,"TRUE","1482145:0.28,1482144:0.27,1482146:0.24,1482143:0.24,1482147:0.21,1482142:0.20",124,10
10256515,1,"AD004SH76PMPINDFAS-1591305",1591305,24.8,"FALSE","1591306:0.32,1591305:0.27,1591307:0.25,1591308:0.19,2044790:0.13",152,9
10256515,1,"MI162SH87FDSINDFAS-1867409",1867409,25.55,"TRUE","1867409:0.33,1867408:0.29,1867410:0.28,1867407:0.23,1867406:0.17,1867405:0.13",152,9
10256515,1,"ZC657SH07WHWINDFAS-792373",792373,25,"FALSE","792374:0.33,792373:0.29,792375:0.28,792372:0.23,792371:0.17,792370:0.13",152,9
10256515,1,"LA037SH12VCTINDFAS-2412623",2412623,22.9,"FALSE","2412629:0.32,2412627:0.28,2412631:0.25,2412625:0.19,2412623:0.13,2412621:0.11",152,9
10258753,1,"LA037SH12VCTINDFAS-2412625",2412625,23.8,"TRUE","2412625:0.57,2412623:0.51,2412621:0.44,2412627:0.41,2412631:0.39,2412629:0.39",1,1
10261425,2,"ST446SH04BLRINDFAS-2134425",2134425,27.3,"TRUE","2134425:0.57,2134426:0.55,2134424:0.53,2134423:0.49,2134427:0.45,2134422:0.40,2134421:0.37",1,1
10263201,3,"DI040SH59QTGINDFAS-1215570",1215570,14.39,"TRUE","1215570:0.40,1215571:0.37,1215572:0.35,1215575:0.33,1215573:0.33,1215574:0.31",5,4
10263651,1,"JC046SH62ORDINDFAS-2878495",2878495,25.55,"FALSE","2878497:0.50,2878495:0.42,2878493:0.36,2878491:0.28,2878489:0.25,2878487:0.25",4,2
10264653,1,"TE228SH46KARINDFAS-2751433",2751433,25.1,"FALSE","2751429:0.49,2751431:0.48,2751427:0.44,2751433:0.41,2751435:0.37,2751437:0.34",2,2
10272693,1,"HM567SH08TNVINDFAS-2003902",2003902,25,"TRUE","2003902:0.56,2003901:0.54,2003903:0.48,2003900:0.44,2003904:0.40,2003899:0.40",1,1
10273007,2,"AL009SH46JAZINDFAS-2333077",2333077,28.79,"TRUE","2333077:0.59,2333076:0.50,2333078:0.48,2333074:0.40,2333075:0.39",1,1
10274551,1,"LO470SH89YZEINDFAS-1677328",1677328,25.55,"TRUE","1677328:0.50,1677327:0.50,1677329:0.42,1677326:0.42,1677325:0.33,1677324:0.33",2,2
10275353,1,"IN071SH41VNAINDFAS-1225442",1225442,25.3,"TRUE","1225442:0.40,1225441:0.40,1225443:0.38,1225440:0.33,1225439:0.27,1225438:0.27",3,3
10275759,2,"UN573SH84UPNINDFAS-2243086",2243086,27.8,"FALSE","2243084:0.59,2243085:0.51,2243086:0.40,2243087:0.39,2243088:0.38,2243089:0.35",1,1
10276197,2,"UN573SH01VYKINDFAS-893108",893108,27,"FALSE","893109:0.57,893110:0.52,893108:0.47,893111:0.41,893107:0.39,893112:0.35",1,1
1027951,3,"PU102SH16DDNINDFAS-2024518",2024518,22,"TRUE","2024518:0.50,2024517:0.47,2024520:0.47,2024519:0.43,2024516:0.43,2024515:0.40",4,3
10288023,1,"ZC657SH00VWLINDFAS-1004688",1004688,23.55,"FALSE","1004689:0.60,1004690:0.50,1004688:0.50,1004691:0.43,1004687:0.42,1004692:0.40",1,1
